Gender,Child's First Name,Count
MALE,MALIK,24
MALE,MAMADOU,27
MALE,MARC,11
MALE,MARCUS,24
MALE,MARQUIS,10
MALE,MASON,83
MALE,MATTHEW,59
MALE,MAURICE,16
MALE,MEKHI,33
MALE,MESSIAH,23
MALE,MICAH,29
MALE,MICHAEL,93
MALE,MILES,10
MALE,MOHAMED,37
MALE,MOHAMMED,23
MALE,MOUSSA,11
MALE,MYLES,15
MALE,NANA,10
MALE,NASIR,33
MALE,NATHAN,32
MALE,NATHANIEL,64
MALE,NEHEMIAH,13
MALE,NICHOLAS,31
MALE,NICOLAS,11
MALE,NIGEL,10
MALE,NOAH,91
MALE,OMAR,14
MALE,OMARI,19
MALE,OUSMANE,14
MALE,PATRICK,14
MALE,PRESTON,19
MALE,PRINCE,32
MALE,QUINCY,10
MALE,RICARDO,10
MALE,RICHARD,15
MALE,ROBERT,29
MALE,RODNEY,10
MALE,RYAN,41
MALE,SAMUEL,30
MALE,SEAN,29
MALE,SEBASTIAN,11
MALE,SEKOU,15
MALE,SETH,12
FEMALE,SHAINDEL,15
MALE,SINCERE,24
MALE,STEPHEN,10
MALE,STEVEN,12
MALE,TERRELL,10
MALE,TERRENCE,11
MALE,TIMOTHY,14
MALE,TRAVIS,17
MALE,TRISTAN,58
MALE,TROY,13
MALE,TYLER,101
MALE,VICTOR,12
MALE,WILLIAM,27
MALE,XAVIER,58
MALE,ZACHARY,22
MALE,ZAIRE,19
MALE,ZION,35
MALE,ZYAIRE,14
MALE,AARON,102
MALE,ABDIEL,12
MALE,ABEL,14
MALE,ABRAHAM,22
MALE,ADAM,32
MALE,ADEN,13
MALE,ADONIS,16
MALE,ADRIAN,157
MALE,ADRIEL,34
MALE,AIDAN,36
MALE,AIDEN,188
MALE,ALAN,38
MALE,ALBERT,13
MALE,ALBERTO,15
MALE,ALDO,10
MALE,ALEJANDRO,68
MALE,ALEX,68
MALE,ALEXANDER,219
MALE,ALEXIS,55
MALE,ALFREDO,15
MALE,ALLAN,10
MALE,ALLEN,22
MALE,ALVIN,10
MALE,AMIR,21
MALE,ANDERSON,33
MALE,ANDRE,10
MALE,ANDRES,51
MALE,ANDREW,125
MALE,ANDY,37
MALE,ANGEL,253
MALE,ANGELO,28
MALE,ANTHONY,207
MALE,ANTONIO,32
MALE,ARIEL,26
MALE,ARMANDO,11
MALE,ARMANI,20
MALE,ARTURO,10
MALE,ASHTON,17
MALE,AUSTIN,15
MALE,AVERY,13
MALE,AXEL,69
MALE,AYDEN,104
MALE,BENJAMIN,51
MALE,BRADLEY,24
MALE,BRANDON,184
MALE,BRAYAN,23
MALE,BRAYDEN,16
MALE,BRYAN,99
MALE,BRYANT,17
MALE,BRYCE,10
MALE,BYRON,19
MALE,CALEB,42
MALE,CAMERON,19
MALE,CARLOS,109
MALE,CARMELO,16
MALE,CESAR,29
FEMALE,ABIGAIL,24
FEMALE,ADA,13
FEMALE,AISHA,13
FEMALE,AIZA,10
FEMALE,ALEENA,12
FEMALE,ALEXA,10
FEMALE,ALEXANDRA,13
FEMALE,ALICE,27
FEMALE,ALINA,25
FEMALE,ALISHA,10
FEMALE,ALIYAH,12
FEMALE,ALLISON,17
FEMALE,ALYSSA,26
FEMALE,AMANDA,22
FEMALE,AMBER,13
FEMALE,AMELIA,14
FEMALE,AMY,24
FEMALE,ANGEL,22
FEMALE,ANGELA,47
FEMALE,ANGELINA,26
FEMALE,ANGIE,10
FEMALE,ANIKA,14
FEMALE,ANNA,30
FEMALE,ANNABELLE,10
FEMALE,ANNIE,20
FEMALE,ARIA,12
FEMALE,ARIANA,15
FEMALE,ARIANNA,11
FEMALE,ARYA,12
FEMALE,ASHLEY,52
FEMALE,AUDREY,19
FEMALE,AVA,23
FEMALE,AYESHA,17
FEMALE,BELLA,16
FEMALE,BONNIE,10
FEMALE,BRIANNA,13
FEMALE,CATHERINE,27
FEMALE,CECILIA,12
FEMALE,CHARLOTTE,14
FEMALE,CHLOE,106
FEMALE,CHRISTINA,20
FEMALE,CHRISTINE,11
FEMALE,CHRISTY,12
FEMALE,CINDY,14
FEMALE,CLAIRE,27
FEMALE,CYNTHIA,14
FEMALE,DAISY,11
FEMALE,DIYA,12
FEMALE,EILEEN,18
FEMALE,ELAINE,28
FEMALE,ELENA,12
FEMALE,ELINA,11
FEMALE,ELIZABETH,15
FEMALE,ELLA,25
FEMALE,EMILY,93
FEMALE,EMMA,75
FEMALE,ERICA,19
FEMALE,ERIKA,12
FEMALE,ERIN,13
FEMALE,ESHAL,11
FEMALE,EVA,22
FEMALE,EVELYN,17
FEMALE,FATIMA,24
FEMALE,FIONA,48
FEMALE,GIANNA,13
FEMALE,GRACE,33
FEMALE,HAILEY,16
FEMALE,HANNAH,23
FEMALE,HELEN,10
FEMALE,IRENE,20
FEMALE,IRIS,26
FEMALE,ISABEL,12
FEMALE,ISABELLA,67
FEMALE,ISABELLE,11
FEMALE,IVY,35
FEMALE,JANICE,14
FEMALE,JANNAT,13
FEMALE,JASMINE,31
FEMALE,JENNIFER,18
FEMALE,JENNY,27
FEMALE,JESSICA,26
FEMALE,JESSIE,18
FEMALE,JIA,12
FEMALE,JOANNA,38
FEMALE,JOCELYN,15
FEMALE,JOY,14
FEMALE,JOYCE,22
FEMALE,JULIA,24
FEMALE,KAITLYN,11
FEMALE,KAREN,22
FEMALE,KATE,10
FEMALE,KATELYN,14
FEMALE,KATHERINE,21
FEMALE,KATIE,18
FEMALE,KAYLA,21
FEMALE,KAYLEE,20
FEMALE,KELLY,22
FEMALE,SHAINDY,48
FEMALE,KYLIE,11
FEMALE,LAUREN,13
